correct,incorrect,model,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
invalid,valid,Llama-2-13b-hf,nonsense_gick_criff_riff^nonsense^invalid,nonsense_gick_criff_riff,2,False,False,False,2.85,4.414,0.5,0.047619047619047616,-1.25,-5.887,-0.07800000000000007,-4.372999999999999,157.8656,19,4.402,4.402,1.0,8.70405466177214,27,252.809,20,3.78,67.48250000000002,27,26.130970549601766,58.538635899928906,25
valid,invalid,Llama-2-13b-hf,nonsense_shiff_yot_plusk^nonsense^valid,nonsense_shiff_yot_plusk,1,True,False,True,2.676,4.594,1.0,1.0,-1.077,-1.429,0.20300000000000007,4.5089999999999995,161.303,19,1.225,1.225,0.95,14.05743522342508,18,183.17219999999998,20,68.86480000000002,3.3190000000000004,8,59.14009098431706,26.311264652287726,30
valid,invalid,Llama-2-13b-hf,nonsense_shiff_yot_plusk^nonsense^valid,nonsense_shiff_yot_plusk,2,True,False,True,2.715,4.46,1.0,1.0,-1.095,-1.343,0.15599999999999992,4.411,162.228,19,1.132,1.132,0.95,14.119233435473598,18,181.7608,20,67.8742,3.13,8,60.3994523048141,26.67362235094753,30
invalid,valid,Llama-2-13b-hf,nonsense_zoft_chand_splink^nonsense^invalid,nonsense_zoft_chand_splink,1,False,False,True,2.648,4.688,0.5,0.047619047619047616,-1.252,-5.805,-0.1479999999999999,-4.186,162.728,19,4.462000000000001,4.462000000000001,1.0,8.973506184657797,27,247.3275,20,4.011,65.64620000000001,27,26.400839855190117,56.90137986653699,25
invalid,valid,Llama-2-13b-hf,nonsense_zoft_chand_splink^nonsense^invalid,nonsense_zoft_chand_splink,2,False,False,True,2.738,4.375,0.5,0.05555555555555555,-1.244,-5.785,-0.08600000000000008,-4.356,162.3106,19,4.676999999999999,4.676999999999999,1.0,9.13013025221171,27,248.142,20,4.077,66.70229999999998,27,26.640109874409973,57.113891694574264,25
invalid,valid,Llama-2-13b-hf,nonsense_dask_flump_fect^nonsense^invalid,nonsense_dask_flump_fect,1,False,False,False,2.738,4.48,1.0,0.08333333333333333,-1.144,-5.312,0.07800000000000007,-3.7590000000000003,160.3576,19,4.250000000000001,4.250000000000001,1.0,9.676042150097473,27,242.94400000000002,20,4.648000000000001,60.822700000000026,27,26.64097304186748,58.86491319886507,25
invalid,valid,Llama-2-13b-hf,nonsense_dask_flump_fect^nonsense^invalid,nonsense_dask_flump_fect,2,False,False,False,2.666,4.484,1.0,0.08333333333333333,-1.115,-5.31,0.09400000000000008,-3.8469999999999995,159.811,19,4.35,4.35,1.0,9.715082695476978,27,242.94400000000002,20,4.797,61.0451,27,26.454010970572305,58.221249225805,25
valid,invalid,Llama-2-13b-hf,nonsense_hap_thrum_zid^nonsense^valid,nonsense_hap_thrum_zid,1,True,False,False,2.686,4.42,1.0,1.0,-0.958,-1.134,0.4770000000000001,5.166,163.714,19,0.6810000000000003,0.6810000000000003,0.95,14.89308948980349,18,175.3164,20,79.5656,1.471,8,62.270238293833465,25.264566214133023,30
valid,invalid,Llama-2-13b-hf,nonsense_hap_thrum_zid^nonsense^valid,nonsense_hap_thrum_zid,2,True,False,False,2.633,4.625,1.0,1.0,-1.031,-1.356,0.2815000000000001,4.601,162.9766,19,1.1410000000000002,1.1410000000000002,0.95,14.339840735880312,18,179.7426,20,72.17389999999997,3.087,8,58.803800942873856,25.767922316975955,30
valid,invalid,Llama-2-13b-hf,nonsense_teft_yact_jund^nonsense^valid,nonsense_teft_yact_jund,1,True,False,True,2.885,4.3,1.0,1.0,-1.055,-1.219,0.40600000000000014,5.210999999999999,161.444,19,0.7900000000000003,0.7900000000000003,0.95,13.339576288984473,18,184.1599,24,76.86910000000002,1.7910000000000004,14,60.927192888331504,24.693839891231963,30
valid,invalid,Llama-2-13b-hf,nonsense_teft_yact_jund^nonsense^valid,nonsense_teft_yact_jund,2,True,False,True,2.932,4.145,1.0,1.0,-1.064,-1.136,0.40700000000000003,5.372,160.9598,19,0.812,0.812,0.95,13.94607931184022,18,183.9198,24,77.7442,1.8340000000000003,14,60.792538764961016,24.406232494391926,30
invalid,valid,Llama-2-13b-hf,nonsense_troff_plam_sphob^nonsense^invalid,nonsense_troff_plam_sphob,1,False,False,True,2.854,4.434,0.5,0.04,-1.289,-6.016,-0.10899999999999999,-4.436,158.3115,19,4.327,4.327,1.0,8.700951986767489,27,253.3875,20,4.141,65.5447,27,26.477489125416387,56.550588611807726,25
invalid,valid,Llama-2-13b-hf,nonsense_troff_plam_sphob^nonsense^invalid,nonsense_troff_plam_sphob,2,False,False,True,2.807,4.555,0.5,0.05263157894736842,-1.264,-5.742,-0.10200000000000009,-4.202,160.17860000000002,19,4.201,4.201,1.0,8.96042010885532,27,250.029,20,4.297,63.007099999999994,27,26.56138900228569,56.39314686755916,25
valid,invalid,Llama-2-13b-hf,nonsense_zeff_zaff_zom^nonsense^valid,nonsense_zeff_zaff_zom,1,True,False,False,2.818,4.316,1.0,1.0,-1.091,-1.497,0.23399999999999999,4.948,156.93,19,0.9209999999999998,0.9209999999999998,0.95,12.948300962280936,18,187.5959,24,74.8671,2.336,14,60.44243804419774,25.154426046555624,30
valid,invalid,Llama-2-13b-hf,nonsense_zeff_zaff_zom^nonsense^valid,nonsense_zeff_zaff_zom,2,True,False,False,2.803,4.41,1.0,1.0,-1.07,-1.468,0.266,4.992,158.301,19,0.875,0.875,0.95,13.318751463545492,18,185.9096,24,75.1454,2.204,14,61.52623110383866,25.462102086782608,30
invalid,valid,Llama-2-13b-hf,nonsense_yuft_yab_sunt^nonsense^invalid,nonsense_yuft_yab_sunt,1,False,False,False,2.754,4.492,1.0,0.1,-1.152,-5.336,0.05500000000000016,-3.8080000000000003,160.39870000000002,19,4.072,4.072,1.0,9.62917753748213,27,243.9385,20,4.789999999999999,59.78039999999999,27,26.62452970180204,56.872032172981896,25
invalid,valid,Llama-2-13b-hf,nonsense_yuft_yab_sunt^nonsense^invalid,nonsense_yuft_yab_sunt,2,False,False,False,2.783,4.41,1.0,0.1,-1.1,-5.28,0.20299999999999985,-3.5360000000000005,158.377,19,3.926,3.926,0.975,10.228508506154771,37,244.1155,20,5.882,56.2713,27,26.52548123605356,55.44987746999977,25
invalid,valid,Llama-2-13b-hf,nonsense_plig_prash_lupt^nonsense^invalid,nonsense_plig_prash_lupt,1,False,False,True,2.861,4.45,0.5,0.03571428571428571,-1.428,-6.137,-0.375,-4.826,161.6454,19,4.451,4.451,1.0,8.445298702218816,27,255.773,20,2.4690000000000003,73.33150000000002,27,24.98006622013999,59.39006428000996,25
invalid,valid,Llama-2-13b-hf,nonsense_plig_prash_lupt^nonsense^invalid,nonsense_plig_prash_lupt,2,False,False,True,2.77,4.3,0.5,0.05263157894736842,-1.373,-5.82,-0.30499999999999994,-4.5840000000000005,159.8075,19,4.521000000000001,4.521000000000001,1.0,8.659224198208241,27,253.57599999999996,20,3.361,70.71100000000001,27,24.83571225246582,56.962837389511215,25
valid,invalid,Llama-2-13b-hf,nonsense_thrag_ont_vept^nonsense^valid,nonsense_thrag_ont_vept,1,True,False,True,2.615,4.426,1.0,1.0,-1.015,-1.159,0.30400000000000005,4.971,163.53900000000002,19,0.8680000000000001,0.8680000000000001,0.95,14.542005259256335,18,180.1232,20,77.1168,2.132,14,61.62673616467166,25.174106264586698,30
valid,invalid,Llama-2-13b-hf,nonsense_thrag_ont_vept^nonsense^valid,nonsense_thrag_ont_vept,2,True,False,True,2.707,4.41,1.0,1.0,-1.037,-1.094,0.29700000000000015,5.093999999999999,165.4778,19,0.758,0.758,0.95,14.573352670443604,18,179.04930000000002,20,77.92569999999998,1.8440000000000005,14,62.09091525453719,24.975070638479696,30
invalid,valid,Llama-2-13b-hf,nonsense_blep_jict_zamp^nonsense^invalid,nonsense_blep_jict_zamp,1,False,False,False,2.805,4.35,1.0,0.05263157894736842,-1.168,-5.73,0.062000000000000055,-3.926,157.1592,19,4.0600000000000005,4.0600000000000005,1.0,9.390251295857325,27,248.867,20,4.835999999999999,59.2311,27,26.8410552585167,55.786167511442976,25
invalid,valid,Llama-2-13b-hf,nonsense_blep_jict_zamp^nonsense^invalid,nonsense_blep_jict_zamp,2,False,False,False,2.809,4.383,1.0,0.05555555555555555,-1.171,-5.727,0.05499999999999994,-3.9880000000000004,158.24200000000002,19,4.191,4.191,1.0,9.392358570228861,27,248.35,20,4.807,60.474100000000014,27,26.918395062708978,56.291638374556804,25
valid,invalid,Llama-2-13b-hf,nonsense_gapt_prash_glemp^nonsense^valid,nonsense_gapt_prash_glemp,1,True,False,False,2.98,4.21,1.0,1.0,-1.18,-1.381,0.16400000000000015,4.435,160.315,19,1.3045000000000002,1.3045000000000002,0.95,12.8010410372137,18,188.7108,24,66.8732,3.6655,30,58.24170629454783,25.34067600469836,30
valid,invalid,Llama-2-13b-hf,nonsense_gapt_prash_glemp^nonsense^valid,nonsense_gapt_prash_glemp,2,True,False,False,2.986,4.203,1.0,1.0,-1.184,-1.3545,0.17900000000000005,4.5325,160.156,19,1.3050000000000002,1.3050000000000002,0.95,12.962942655968156,18,188.6297,24,67.57430000000001,3.6339999999999995,30,57.665110432935734,25.733525093794462,30
valid,invalid,Llama-2-13b-hf,nonsense_luft_noct_vosk^nonsense^valid,nonsense_luft_noct_vosk,1,True,False,False,2.79,4.29,1.0,1.0,-1.086,-1.413,0.23399999999999999,4.552,158.64499999999998,19,1.204,1.204,0.95,13.22975102047748,18,187.38060000000002,24,67.80239999999998,3.2489999999999997,14,58.791371331485806,25.85324642015014,30
valid,invalid,Llama-2-13b-hf,nonsense_luft_noct_vosk^nonsense^valid,nonsense_luft_noct_vosk,2,True,False,False,2.82,4.293,1.0,1.0,-1.077,-1.327,0.28100000000000014,4.646,159.2745,19,1.14,1.14,0.95,13.321834982104379,18,185.6602,24,70.27579999999999,3.0779999999999994,30,58.67605215916338,25.40508987621452,30
invalid,valid,Llama-2-13b-hf,nonsense_wib_mact_boct^nonsense^invalid,nonsense_wib_mact_boct,1,False,False,False,2.797,4.504,0.5,0.04,-1.216,-5.957,-0.038999999999999924,-4.412,159.8979,19,4.511,4.511,1.0,8.773602071742037,27,251.367,20,3.8979999999999997,67.74969999999998,27,26.51141160649626,58.92360858597528,25
invalid,valid,Llama-2-13b-hf,nonsense_wib_mact_boct^nonsense^invalid,nonsense_wib_mact_boct,2,False,False,False,2.766,4.617,1.0,0.047619047619047616,-1.181,-5.793,0.014999999999999902,-4.216,160.8884,19,4.426,4.426,1.0,9.457731242223689,27,248.891,20,4.297,65.42499999999998,27,26.614646434413633,58.38620052693384,25
valid,invalid,Llama-2-13b-hf,nonsense_namp_clun_hamp^nonsense^valid,nonsense_namp_clun_hamp,1,True,False,True,2.707,4.613,1.0,1.0,-1.147,-1.537,0.07099999999999995,4.303,161.67129999999997,19,1.4929999999999999,1.4929999999999999,0.95,13.328166760135758,18,189.2861,20,64.2819,4.346,30,55.460235479489796,26.27429950592016,30
valid,invalid,Llama-2-13b-hf,nonsense_namp_clun_hamp^nonsense^valid,nonsense_namp_clun_hamp,2,True,False,True,2.736,4.715,1.0,1.0,-1.081,-1.515,0.21900000000000008,4.559,162.918,19,1.1860000000000002,1.1860000000000002,0.95,13.464970786435963,18,186.4688,20,68.55019999999999,3.282,8,57.26218386377329,25.51151842372466,30
invalid,valid,Llama-2-13b-hf,nonsense_trunt_om_jemp^nonsense^invalid,nonsense_trunt_om_jemp,1,False,False,True,2.781,4.44,0.5,0.058823529411764705,-1.222,-5.7,-0.038999999999999924,-4.173,159.3635,19,4.376,4.376,1.0,8.918690848931915,27,250.38,20,4.203,64.0582,27,26.304855633915768,57.094729377017686,25
invalid,valid,Llama-2-13b-hf,nonsense_trunt_om_jemp^nonsense^invalid,nonsense_trunt_om_jemp,2,False,False,True,2.822,4.395,1.0,0.0625,-1.21,-5.652,0.016000000000000014,-4.072,159.1569,19,4.307,4.307,1.0,9.426052342801022,27,250.23,20,4.579000000000001,62.6393,27,26.62509076064942,56.71148302588631,25
valid,invalid,Llama-2-13b-hf,nonsense_vesk_foff_strod^nonsense^valid,nonsense_vesk_foff_strod,1,True,False,True,2.771,4.504,1.0,1.0,-1.131,-1.431,0.16399999999999992,4.503,159.961,19,1.3525,1.3525,0.95,13.267312868545275,18,188.2518,24,67.8812,3.8554999999999997,14,57.124077070572795,25.45316830359745,30
valid,invalid,Llama-2-13b-hf,nonsense_vesk_foff_strod^nonsense^valid,nonsense_vesk_foff_strod,2,True,False,True,2.742,4.633,1.0,1.0,-1.079,-1.495,0.23399999999999999,4.618,161.43509999999998,19,1.142,1.142,0.95,13.856344835987606,18,186.3801,24,69.76739999999997,3.102,8,59.09943579706866,25.520926949011447,30
invalid,valid,Llama-2-13b-hf,nonsense_yob_broft_jank^nonsense^invalid,nonsense_yob_broft_jank,1,False,False,True,2.936,4.34,1.0,0.05,-1.218,-5.844,0.05400000000000005,-4.3500000000000005,160.27429999999998,19,4.51,4.51,1.0,9.133479313049913,27,251.546,24,4.782000000000001,62.88430000000002,27,25.847376881439125,55.81033620025306,25
invalid,valid,Llama-2-13b-hf,nonsense_yob_broft_jank^nonsense^invalid,nonsense_yob_broft_jank,2,False,False,True,2.889,4.418,1.0,0.045454545454545456,-1.222,-5.87,0.007500000000000062,-4.293,159.933,19,4.422000000000001,4.422000000000001,1.0,9.127810347532385,27,251.37,24,4.562500000000001,62.4762,27,25.66162324458445,55.278625046431145,25
valid,invalid,Llama-2-13b-hf,nonsense_shrad_splect_dring^nonsense^valid,nonsense_shrad_splect_dring,1,True,False,False,2.969,4.402,0.5,1.0,-1.31,-1.605,-0.1100000000000001,3.9650000000000003,158.711,19,1.546,1.546,1.0,12.197674374459275,18,192.64069999999998,24,60.09030000000001,5.158,30,55.65772819376651,26.37529009844802,30
valid,invalid,Llama-2-13b-hf,nonsense_shrad_splect_dring^nonsense^valid,nonsense_shrad_splect_dring,2,True,False,False,2.867,4.414,0.5,1.0,-1.2295,-1.483,-0.007500000000000062,4.380000000000001,159.4375,19,1.4605,1.4605,1.0,12.312962224226592,18,190.1909,24,64.2296,4.3725000000000005,30,57.08609770244266,26.92235484342027,30
invalid,valid,Llama-2-13b-hf,nonsense_blit_slipe_bruss^nonsense^invalid,nonsense_blit_slipe_bruss,1,False,False,False,2.85,4.316,1.0,0.1111111111111111,-1.083,-5.11,0.27300000000000013,-3.4210000000000003,157.586,19,3.865,3.865,0.9,11.015706655535315,27,242.2157,20,6.405000000000001,54.897700000000015,27,26.397991402580352,55.66256193152853,25
invalid,valid,Llama-2-13b-hf,nonsense_blit_slipe_bruss^nonsense^invalid,nonsense_blit_slipe_bruss,2,False,False,False,2.836,4.36,1.0,0.1111111111111111,-1.033,-5.008,0.391,-3.299,158.204,19,3.8,3.8,0.875,11.354436611896453,33,240.17289999999997,20,7.8521,53.8773,27,26.84744269770222,55.283150943611645,25
valid,invalid,Llama-2-13b-hf,nonsense_sneb_jing_omp^nonsense^valid,nonsense_sneb_jing_omp,1,True,False,True,2.613,4.67,1.0,1.0,-1.1,-1.382,0.11699999999999999,4.384,161.99200000000002,19,1.3599999999999999,1.3599999999999999,0.95,13.877183915261899,18,182.78860000000003,20,67.6814,3.8910000000000005,30,57.2076316804591,26.190971477491452,30
valid,invalid,Llama-2-13b-hf,nonsense_sneb_jing_omp^nonsense^valid,nonsense_sneb_jing_omp,2,True,False,True,2.684,4.527,1.0,1.0,-1.061,-1.26,0.22599999999999998,4.63,163.018,19,1.04,1.04,0.95,14.338687481763202,18,179.875,20,71.37299999999999,2.8230000000000004,30,58.7578804341347,25.83166723371256,30
invalid,valid,Llama-2-13b-hf,nonsense_blim_phrint_yemp^nonsense^invalid,nonsense_blim_phrint_yemp,1,False,False,True,2.682,4.516,0.5,0.05555555555555555,-1.185,-5.76,-0.02400000000000002,-4.227,158.98899999999998,19,4.651000000000001,4.651000000000001,1.0,9.175334891108694,27,247.277,20,3.907,66.84999999999998,27,26.557440011167614,58.26587498335791,25
invalid,valid,Llama-2-13b-hf,nonsense_blim_phrint_yemp^nonsense^invalid,nonsense_blim_phrint_yemp,2,False,False,True,2.791,4.254,0.5,0.034482758620689655,-1.32,-6.07,-0.242,-4.924,161.6203,19,4.848,4.848,1.0,8.912393079798662,27,251.388,20,2.2030000000000003,75.564,27,25.69856681176558,62.019272355564425,25
valid,invalid,Llama-2-13b-hf,nonsense_splack_zoct_spuff^nonsense^valid,nonsense_splack_zoct_spuff,1,True,False,False,2.713,4.53,1.0,1.0,-1.194,-1.481,0.008000000000000007,4.062,160.8523,19,1.5159999999999998,1.5159999999999998,0.95,13.566988717419946,18,185.817,20,63.57699999999999,4.561999999999999,8,57.68695396440718,26.996641192731634,30
valid,invalid,Llama-2-13b-hf,nonsense_splack_zoct_spuff^nonsense^valid,nonsense_splack_zoct_spuff,2,True,False,False,2.742,4.453,1.0,1.0,-1.125,-1.277,0.14100000000000001,4.539,163.573,19,1.2040000000000002,1.2040000000000002,0.95,13.937195986070115,18,180.8811,20,69.96090000000001,3.46,8,60.02886754132496,26.900786446575914,30
invalid,valid,Llama-2-13b-hf,nonsense_threck_crand_grosp^nonsense^invalid,nonsense_threck_crand_grosp,1,False,False,False,2.875,4.316,0.5,0.043478260869565216,-1.317,-5.83,-0.17900000000000005,-4.671,164.5165,19,4.8839999999999995,4.8839999999999995,1.0,8.970838016490463,27,246.876,20,2.7989999999999995,72.6578,27,25.555076011548913,60.74074871751082,25
invalid,valid,Llama-2-13b-hf,nonsense_threck_crand_grosp^nonsense^invalid,nonsense_threck_crand_grosp,2,False,False,False,2.756,4.508,0.5,0.0625,-1.232,-5.605,-0.04600000000000004,-4.226000000000001,162.072,19,4.593999999999999,4.593999999999999,1.0,9.189078952354107,27,244.14100000000002,20,4.446000000000001,64.365,27,26.98960637795298,57.14651942446788,25
valid,invalid,Llama-2-7b-hf,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,1,True,True,True,1.4427565,6.385922,0.5,0.03225806451612903,-1.5672436,-5.900625,-1.10728263,2.785070000000001,150.8882351,21,1.1110209699999996,1.1110209699999996,1.0,6.18790806732605,22,169.46892211,21,61.64427938999999,7.598173749999999,22,34.796973648451285,21.136689878222352,22
valid,invalid,Llama-2-7b-hf,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,2,True,True,True,1.4433987,6.623436,0.5,0.05,-1.266618,-5.5008373,-0.7074279,3.282998700000001,153.27453350000002,21,0.7712099999999998,0.7712099999999998,1.0,7.3367786501518575,22,163.09979897,21,67.55403792999999,3.6214907999999997,22,36.33819033249099,18.042561265443357,22
invalid,valid,Llama-2-7b-hf,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,1,False,True,True,1.4478219,6.5273685,1.0,0.0012165450121654502,-0.49230886,-8.78578,0.9655113399999999,-3.036060400000001,152.03633230000003,21,5.222698,5.222698,0.90625,6.746312786564126,21,224.96122012,19,5.88907118,64.18477923,19,20.232833010229854,35.82685195371488,19
invalid,valid,Llama-2-7b-hf,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,2,False,True,True,1.3827193,6.6004257,1.0,0.0011976047904191617,-0.49600387,-8.789395,0.87787243,-3.150772000000001,152.87904879,21,5.042966600000001,5.042966600000001,0.9375,6.045331192835936,21,225.60894267000003,21,4.78609793,65.06295452000002,19,19.28402458954546,35.666345164202056,19
valid,invalid,Llama-2-7b-hf,librarians_happy_healthy^violate^valid,librarians_happy_healthy,1,True,True,False,1.325603,6.4804645,0.5,0.024390243902439025,-1.7682626,-6.0152407,-1.3860492,2.6215802999999998,149.1177469,21,1.0612483999999998,1.0612483999999998,1.0,6.148425298421037,22,171.38478185,21,60.53252969999999,9.481179599999999,22,33.014963083736966,21.814041827297174,22
valid,invalid,Llama-2-7b-hf,librarians_happy_healthy^violate^valid,librarians_happy_healthy,2,True,True,False,1.3504887,6.434431,0.5,0.02564102564102564,-1.6952455,-5.904175,-1.29402735,2.6978779999999993,150.2005737,21,1.0266922499999995,1.0266922499999995,1.0,6.169060584930895,22,169.91597683999998,21,60.58527123,8.586439729999999,22,33.50722672610772,21.394716888756655,22
invalid,valid,Llama-2-7b-hf,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,1,False,True,False,1.3594711,6.5293584,1.0,0.0013850415512465374,-0.43037024,-8.650757,1.15470886,-2.8384682000000003,149.22298082999998,21,5.1324375,5.1324375,0.875,6.836856826343417,21,223.42692472,19,6.9466852800000005,62.10740962000001,19,20.77512572042631,33.877004798916346,19
invalid,valid,Llama-2-7b-hf,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,2,False,True,False,1.3649886,6.4716196,1.0,0.0013623978201634877,-0.42370164,-8.684403,1.19674686,-2.7829299999999995,149.82904816,21,5.0817417,5.0817417,0.875,7.060757313267377,21,222.94510922,19,7.701834780000001,61.29132719000001,19,20.640673901928675,33.670588500991826,19
valid,invalid,Llama-2-7b-hf,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,1,True,True,True,1.3750842,6.853942,0.5,0.058823529411764705,-1.3685566,-5.3769445,-0.87610243,3.1718205,156.3706206,21,0.7001505699999999,0.7001505699999999,1.0,7.332590891386061,22,163.66128291,21,65.69119474,4.33173653,22,37.36168511822596,18.86761140818116,22
valid,invalid,Llama-2-7b-hf,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,2,True,True,True,1.3612205,6.8493795,0.5,0.08333333333333333,-1.3810973,-5.289571,-0.8959788799999999,3.258948000000001,155.4930423,21,0.55473142,0.55473142,1.0,7.405181971997754,22,162.71923581,21,66.58949284,4.05537618,22,37.50394468255709,18.46286367369455,22
invalid,valid,Llama-2-7b-hf,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,1,False,True,True,1.3342667,6.923598,1.0,0.0014619883040935672,-0.4606152,-8.501677,0.9708709000000001,-3.1166854000000006,156.5672187,21,4.9880070000000005,4.9880070000000005,0.9375,5.984333632377353,21,224.91718,21,4.6559513,65.21624353000001,19,19.05734646815383,36.45155705205613,19
invalid,valid,Llama-2-7b-hf,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,2,False,True,True,1.317796,6.805758,1.0,0.0015723270440251573,-0.43531048,-8.455339,1.0720234199999998,-2.9999147000000006,154.26247999999998,21,5.040837699999999,5.040837699999999,0.90625,6.820504172623075,21,224.45872828,21,5.306311619999999,64.37749200999997,19,18.978284080116065,35.774816274431565,19
valid,invalid,Llama-2-7b-hf,computers_electronics_expensive^violate^valid,computers_electronics_expensive,1,True,True,False,1.3133738,6.6950355,0.5,0.058823529411764705,-1.7311215,-5.531785,-1.34839048,2.770649999999999,154.95629487000002,21,0.7451796199999996,0.7451796199999996,1.0,6.302487167750135,22,166.79847136,21,61.35369009,8.077151269999998,22,34.73890557503431,20.864835877537626,22
valid,invalid,Llama-2-7b-hf,computers_electronics_expensive^violate^valid,computers_electronics_expensive,2,True,True,False,1.317526,6.675435,0.5,0.05555555555555555,-1.6986405,-5.4535093,-1.311718,2.8423587,155.01333809,21,0.7379704,0.7379704,1.0,6.388762966876241,22,166.02885589,21,61.71716890999999,7.87515459,22,35.081715986823255,21.11743273025664,22
invalid,valid,Llama-2-7b-hf,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,1,False,True,False,1.2780428,6.712326,1.0,0.00196078431372549,-0.35123533,-8.288478,1.49253847,-2.7852936999999995,154.7818054,21,5.0489686,5.0489686,0.8125,7.559640498542502,21,219.71753649000001,21,9.49418585,61.209007940000006,19,22.13793719708976,34.43163540895849,19
invalid,valid,Llama-2-7b-hf,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,2,False,True,False,1.2427386,6.710439,1.0,0.001984126984126984,-0.34097016,-8.267397,1.5217228399999998,-2.705955600000001,154.39691021000002,21,5.0261765,5.0261765,0.8125,7.571596407819255,21,218.85077776,21,9.533422509999998,60.73867412999999,19,21.53312414684018,33.79367365162086,19
valid,invalid,Llama-2-7b-hf,plants_trees_tall^consistent^valid,plants_trees_tall,1,True,True,True,1.3752367,6.8574495,0.5,0.05263157894736842,-1.3063571,-5.5018272,-0.7898577600000001,3.0648538000000007,155.66922363999998,21,0.8073750399999999,0.8073750399999999,1.0,7.315822065489215,22,162.89481855000002,21,66.22016205000001,3.7906074200000006,22,36.80335494211524,18.823393252800198,22
valid,invalid,Llama-2-7b-hf,plants_trees_tall^consistent^valid,plants_trees_tall,2,True,True,True,1.3496678,6.7957344,0.5,0.05263157894736842,-1.3794873,-5.567149,-0.8982429700000001,2.989986000000001,155.10191494,21,0.7964611299999995,0.7964611299999995,1.0,7.277503019593659,22,164.46433939000002,21,64.62454845,4.44512837,22,36.04431628933326,19.19535394230581,22
invalid,valid,Llama-2-7b-hf,plants_trees_tall^consistent^invalid,plants_trees_tall,1,False,True,True,1.384995,6.783868,1.0,0.001607717041800643,-0.5109985,-8.469189,0.8156279999999999,-2.9222053,155.32696854,21,4.909174999999999,4.909174999999999,0.9375,5.907731486544208,21,226.01548354,21,4.1756626599999995,65.17552993000001,19,18.698408290827686,36.308841795998916,19
invalid,valid,Llama-2-7b-hf,plants_trees_tall^consistent^invalid,plants_trees_tall,2,False,True,True,1.3708686,6.750746,1.0,0.0016181229773462784,-0.4830739,-8.470153,0.9092675000000001,-2.8764744999999996,154.2344845,21,4.9470849999999995,4.9470849999999995,0.9375,5.912017346151681,21,225.59825426999998,21,4.446733129999999,64.2895381,19,18.47223137975855,35.45228300648916,19
valid,invalid,Llama-2-7b-hf,plants_trees_tall^violate^valid,plants_trees_tall,1,True,True,False,1.3795888,6.6971655,0.5,0.05,-1.4567796,-5.5194473,-0.99238205,2.904913699999999,154.43382642,21,0.7906923499999998,0.7906923499999998,1.0,7.1044209558217535,22,164.83296408,21,63.27399727000002,5.0416593999999995,22,36.15573569805666,19.56388969460774,22
valid,invalid,Llama-2-7b-hf,plants_trees_tall^violate^valid,plants_trees_tall,2,True,True,False,1.3850319,6.7421894,0.5,0.05263157894736842,-1.3993267,-5.479501,-0.9143944,2.933051,155.5480011,21,0.8602742999999994,0.8602742999999994,1.0,7.089488471323532,22,164.13820307999998,21,64.03972617999999,4.7300951,22,36.79279707226956,19.586274391614058,22
invalid,valid,Llama-2-7b-hf,plants_trees_tall^violate^invalid,plants_trees_tall,1,False,True,False,1.296232,6.7281775,1.0,0.0019047619047619048,-0.3703441,-8.328897,1.3917199,-2.662374,153.48786705,21,4.9693510000000005,4.9693510000000005,0.875,6.827592039547405,21,220.72036176,21,8.52399484,60.747886760000014,19,22.122839985218917,34.73061360405829,19
invalid,valid,Llama-2-7b-hf,plants_trees_tall^violate^invalid,plants_trees_tall,2,False,True,False,1.2688463,6.7517567,1.0,0.0020325203252032522,-0.373197,-8.248927,1.3403434,-2.6285733000000002,153.73648702999998,21,4.941724499999999,4.941724499999999,0.875,6.906669348017513,21,221.11273201,21,7.899450889999998,61.268835629999984,19,21.357626397661612,34.7351742723888,19
valid,invalid,Llama-2-7b-hf,flowers_animals_reptiles^consistent^valid,flowers_animals_reptiles,1,True,True,True,1.3344775,6.778989,0.5,0.058823529411764705,-1.4934493,-5.4771557,-1.0544986,3.1081273000000005,155.40295389,21,0.9662042000000004,0.9662042000000004,1.0,7.023349981790112,22,165.38497854000002,21,63.605856560000014,5.3923933,22,36.72247948094823,21.149993783835907,22
